Station Number,Station Name,State,Latitude,Longitude,Start Year,End Year,Total Observations,Valid Observations,Percentage Complete (from file),Record Length
047108,BURNDOO,NSW,-32.0679,143.65,2017,2024,121638,118120,99.0,8
065103,FORBES AIRPORT AWS,NSW,-33.3627,147.9205,1996,2024,499885,352220,71.0,29
075041,GRIFFITH AIRPORT AWS,NSW,-34.2487,146.0695,2000,2024,422301,356651,85.0,25
047109,INKERMAN,NSW,-31.9772,142.153,2017,2024,121919,112063,96.0,8
047048,BROKEN HILL AIRPORT AWS,NSW,-32.0012,141.4694,1989,2024,623003,399256,65.0,36
055024,GUNNEDAH RESOURCE CENTRE,NSW,-31.0261,150.2687,2022,2024,27712,27353,99.0,3
051163,KEVELINE,NSW,-30.4934,147.9422,2017,2024,121639,115738,97.0,8
068192,CAMDEN AIRPORT AWS,NSW,-34.039,150.689,1992,2024,565938,427671,76.0,33
048245,BOURKE AIRPORT AWS,NSW,-30.0362,145.9521,1999,2024,446070,355844,81.0,26
070014,CANBERRA AIRPORT COMPARISON,NSW,-35.3049,149.2014,1985,2010,454359,232725,52.0,26
067117,HOLSWORTHY CONTROL RANGE,NSW,-33.9795,150.9254,1998,2014,286792,273595,96.0,17
068264,JERVIS BAY NSW (JERVIS BAY AIRFIELD AWS),NSW,-35.1439,150.6973,2018,2024,100950,99672,99.0,7
048248,GUMBOOKA,NSW,-29.7859,146.2857,2017,2024,121638,96314,84.0,8
068239,MOSS VALE AWS,NSW,-34.5253,150.4217,2001,2024,409924,354976,87.0,24
069137,GREEN CAPE AWS,NSW,-37.2622,150.0504,2000,2024,420148,306910,74.0,25
074253,FINLEY (CSIRO),NSW,-35.7111,145.6236,1989,2001,208013,64809,31.0,13
066212,SYDNEY OLYMPIC PARK AWS (ARCHERY CENTRE),NSW,-33.8338,151.0718,2011,2024,225704,224027,99.0,14
069147,MERIMBULA AIRPORT AWS,NSW,-36.9077,149.8989,1998,2024,459613,374286,82.0,27
060168,PORT MACQUARIE AIRPORT AWS,NSW,-31.4343,152.8662,2020,2024,65717,64930,99.0,5
058198,BALLINA AIRPORT AWS,NSW,-28.8353,153.5585,1995,2024,508237,391670,78.0,30
